"",validDate,stoxxId,freeFloat
20567,20240624,IN81U8,0.466
32372,20240923,AU44DP,1.0
20259,20240624,CNF4R9,0.2539
1595,20240624,US20SG,1.0
4978,20240624,679548,1.0
8221,20240624,FI0041,1.0
10194,20240624,SA21AF,0.7277
16996,20240923,CN15IN,0.6029
2554,20240624,482030,0.454
14287,20240923,IN09LZ,0.25
8951,20240624,ET008,0.6818
15418,20240923,CN868L,0.78
18078,20240923,AU80IU,0.92
16176,20240624,CNF2K0,0.5442
11955,20240923,CN15JO,0.7322
1043,20240923,RMD,1.0
26149,20240923,JP1YJQ,0.8636
504,20240624,BR305A,0.9498
4431,20240624,CN0FQ4,0.7945
5441,20240624,AU127E,0.7254
16006,20240624,US9JIW,1.0
20186,20240624,CN85R3,0.6463
28527,20240923,IT32FV,0.3207
28278,20240923,HK40MR,0.3154
20529,20240624,CNF7ZK,0.1859
7176,20240923,249231,1.0
19750,20240624,US92GD,1.0
13299,20240624,CN7QC8,0.5675
26287,20240923,AU151B,0.33
14071,20240624,CN71T0,0.4829
406,20240624,664480,0.8183
19784,20240624,CNEEOF,0.7052
28374,20240923,NO333K,0.3369
15215,20240624,CN7C5N,0.4277
2163,20240624,420535,0.1516
1878,20240923,D,1.0
13590,20240923,CH201W,0.55
19558,20240624,CN1X41,0.6909
18865,20240923,SE3C4P,0.3771
33428,20240923,JP91N5,0.8371
12835,20240624,CA31C2,0.6851
10260,20240624,US9D8G,0.9446
16748,20240624,CNE82N,0.4919
20339,20240624,US93PN,1.0
14983,20240923,US03NC,1.0
21700,20240923,CN1L1M,0.7313
17116,20240923,US14I9,1.0
15995,20240923,664240,0.9469
4265,20240624,NO504K,1.0
1335,20240624,B1BSCX,0.5589
4948,20240624,TW01ZP,0.4142
18205,20240624,NO32BR,0.7408
17322,20240923,BR00RT,0.5876
4674,20240923,AU404C,1.0
27832,20240923,TW03ZR,1.0
20303,20240923,SE3AAT,0.56
9413,20240624,CN2AQ1,0.4592
16230,20240624,CN7G8U,0.6301
19191,20240923,CN7NB4,0.6514
10983,20240624,AU246G,0.923
1296,20240624,SE401B,0.6221
5653,20240624,613716,0.9096
4812,20240624,US9B4A,0.9081
8213,20240624,282694,1.0
28588,20240923,CNF20G,0.28
17065,20240923,TH80FX,0.543
7401,20240624,CN2F0G,0.5505
9129,20240624,ZA804L,0.8529
8624,20240923,JP409L,0.8676
14927,20240624,US3Q3I,0.9401
3744,20240624,PH20FN,0.2715
16935,20240624,GR303D,0.8121
677,20240624,IN05FP,0.3706
16142,20240624,CN75ZA,0.5345
10126,20240624,CN2P7X,0.2622
15348,20240923,US05RI,0.8492
23037,20240923,CA21LA,0.5023
25414,20240923,TR20PB,0.6442
19007,20240923,JP20Y8,0.7941
3717,20240624,675845,0.9424
17000,20240624,CN95LY,0.3726
5180,20240624,US3SM3,0.9401
15893,20240923,US1HJN,1.0
12934,20240923,CN873H,0.1751
27204,20240923,CNEB6U,1.0
19393,20240624,TH901K,0.7128
9918,20240923,WU,1.0
21219,20240923,BLK,0.946
12367,20240624,285363,1.0
25112,20240923,CN2YTS,0.5008
16431,20240923,CN8BDV,0.453
34103,20240923,CNFE6Y,0.5022
8644,20240624,CN0PL9,0.7335
1451,20240624,TW10ND,0.8636
29666,20240923,KR08N6,0.7238
16502,20240624,JP1ZIQ,0.4998
854,20240923,KR50UA,0.7954
380,20240923,521107,0.8698
21320,20240923,ID4076,0.1129
22050,20240923,CN8QKH,0.4231
15572,20240923,CA00VH,1.0
6617,20240923,BR027B,0.3699
10677,20240624,AU32IR,1.0
16307,20240624,CN7BCT,0.554
20503,20240624,ID80MP,0.2929
9259,20240624,TH10GR,0.3875
7367,20240624,B0BN7W,0.4767
6370,20240624,IN0BHX,0.4
10450,20240923,KR40ET,0.5668
33635,20240923,KR51K1,0.9496
20431,20240923,CN2Q3U,0.6079
20953,20240923,IN00JO,0.3294
10615,20240624,CN08CJ,0.6697
10912,20240624,CN3013,0.7264
27927,20240923,CNECMB,0.6492
7879,20240624,PS042,0.6879
14589,20240624,CN34KQ,0.7644
19399,20240624,CNF5YH,0.5112
19956,20240624,KR90I2,0.5966
31432,20240923,CNF21H,0.4813
25310,20240923,GR303D,0.8121
630,20240624,US308X,0.7471
10443,20240923,680600,0.9162
30880,20240923,FR14EP,0.261
7003,20240923,TW02H8,0.4608
10208,20240923,US9B7D,1.0
12062,20240923,BR0013,0.4974
53,20240624,DE2070,1.0
29845,20240923,CNE6GZ,0.7576
14995,20240923,CN56KU,0.7256
18896,20240624,SE40NX,0.4937
14588,20240923,534424,0.2053
6832,20240624,SE10NU,1.0
32812,20240923,US9634,1.0
3665,20240624,TW00OD,1.0
19788,20240923,US14NE,0.8361
4038,20240624,CA12G5,1.0
12863,20240923,KR716P,0.614
25122,20240923,CN2XGE,0.6561
2219,20240923,CN0UNG,0.6691
2607,20240624,SMG,0.7374
4692,20240624,CN0Z20,0.446
16289,20240624,CN674G,0.5676
2703,20240923,SE602E,1.0
8966,20240923,U0016,1.0
11271,20240624,CN2IVE,0.7156
19720,20240624,JP17P5,0.8875
33171,20240923,US93VT,1.0
7470,20240624,CN00ZY,0.3753
12192,20240624,CN2OMB,0.3022
15685,20240624,BR11DH,0.2476
15905,20240624,CN78IW,0.3873
19396,20240624,CNEJB7,0.7803
17244,20240923,IT11AN,0.4002
25227,20240923,CNEA0N,0.7119
25776,20240923,KR318N,0.6475
19198,20240624,JP46BT,1.0
16729,20240624,FR14IT,0.7475
63,20240923,BMY,1.0
143,20240923,BDX,1.0
4055,20240923,TR304R,0.4334
