Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;IN005A;INE467B01029;B01NPJ1;TCS.NS;Tata Consultancy Services Ltd;IN;Emerging;STANDARD
6/18/2012;BR00EG;BRCIELACNOR3;B614LY3;CIEL3.SA;Cielo SA;BR;Emerging;STANDARD
6/18/2012;IN00NS;INE271C01023;B1YLCV0;DLF.NS;DLF Ltd;IN;Emerging;STANDARD
6/18/2012;TW01G6;TW0001504009;6879851;1504.TW;Teco Electric;TW;Emerging;STANDARD
6/18/2012;B064B9;PLEURCH00011;B064B91;ERCS.WA;EUROCASH;PL;Emerging;STANDARD
6/18/2012;B018L7;CNE100000536;B018L76;2866.HK;CHINA SHIPPING CONT. LINES H;CN;Emerging;STANDARD
6/18/2012;MY006Q;MYL6888OO001;B2QZGV5;AXIA.KL;Axiata Group Bhd;MY;Emerging;STANDARD
6/18/2012;CL0052;CL0000000100;B00R3L2;CEN.SN;Cencosud SA;CL;Emerging;STANDARD
6/18/2012;TW00UJ;TW0002880002;6411877;2880.TW;Hua Nan Financial Holdings Co;TW;Emerging;STANDARD
6/18/2012;TW02C3;TW0002103009;6870876;2103.TW;TSRC;TW;Emerging;STANDARD
6/18/2012;KR02ZC;KR7005940002;6537085;005940.KS;Woori Inv&Sec;KR;Emerging;STANDARD
6/18/2012;EV022;RU0007288411;B5B1TX2;GMKN.MM;MMC NORILSK NICKEL;RU;Emerging;STANDARD
6/18/2012;TW02JA;TW0002207008;6417165;2207.TW;Hotai Motor;TW;Emerging;STANDARD
6/18/2012;KR19UF;KR7047810007;B3N3363;047810.KS;KOREA AEROSPACE INDS.;KR;Emerging;STANDARD
6/18/2012;MY00FZ;MYL1015OO006;6047023;AMMB.KL;AMMB Holdings Bhd;MY;Emerging;STANDARD
6/18/2012;KR01R3;KR7001800002;6896849;001800.KS;ORION KR;KR;Emerging;STANDARD
6/18/2012;PH047H;PHY0005M1090;B1Z9Q99;AP.PS;Aboitiz Power Corp;PH;Emerging;STANDARD
