Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YPEPT,GR,488828,1.0,GRS074083007,B01NXT7,TITAN CEMENT COMPANY,1052482880.0,0.00021605061178555984
2019-03-18,E004YMWXF,KR,KR00U5,1.0,KR7023530009,B0WGPZ5,Lotte Shopping Co Ltd,2047822791.0,0.00042037108178326154
2019-03-18,E004YRWO1,EG,EG2040,1.0,EGS3G0Z1C014,B15Q010,ELSWEDY ELECTRIC,727929873.0,0.00014942731837940668
2019-03-18,E004YQWFV,IN,IN0AR6,1.0,INE481G01011,B01GZF6,UltraTech Cement,6322673782.0,0.0012979000083323154
2019-03-18,E004YOT4C,MX,MX007Q,0.49,MXP554091415,2448200,Industrias Penoles SAB de CV,2437169655.0,0.0005002950689211703
2019-03-18,E004YRBR0,BR,BR03SX,1.0,BRLAMEACNPR6,2516710,Lojas Americanas,3728683733.0,0.0007654133069314297
2019-03-18,E004YOO0C,TH,TH21HU,0.7560562,TH0168A10Z01,B0166D1,BUMRUNGRAD HOSPITAL,2000130399.0,0.0004105809268411529
2019-03-18,E004YU873,CN,CN91PY,1.0,KYG2121R1039,BYP71J9,CHINA LITERATURE,1433535728.0,0.0002942720275420137
2019-03-18,E004YN3CR,IN,IN088L,0.4270463,INE318A01026,B0JJV59,Pidilite Inds,2088447125.0,0.000428710326421693
2019-03-18,E004YPP7T,CN,KY00HZ,1.0,US64110W1027,2606440,Netease.com ADR,31975911389.0,0.006563921702930028
2019-03-18,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,1106441962.0,0.00022712717454873482
2019-03-18,E004YN6ZL,ZA,ZA20V6,1.0,ZAE000134854,6105578,CLICKS GROUP,2847206208.0,0.0005844661749918857
2019-03-18,E004YOI0D,ID,ID00ID,1.0,ID1000057003,6283979,Indofood Sukses Makmur Tbk PT,2222914843.0,0.0004563134668540658
2019-03-18,E004YNPNP,CN,CN70TZ,1.0,HK0000311099,BYNGG26,CHINA RES.PHARM.GP.,2653423932.0,0.0005446871153239525
2019-03-18,E004YPZQ0,BR,BR02AE,1.0,BRBTOWACNOR8,B1LH3Y1,B2W DIGITAL,2243118391.0,0.0004604607921821879
2019-03-18,E004YR97V,TW,TW00SH,1.0,TW0006505001,6718716,Formosa Petrochemical Corp,6621498415.0,0.0013592418562645549
2019-03-18,E004YM4IS,TH,TH20T5,1.0,TH0528010Z00,6418920,DELTA ELECTRONICS,2631002497.0,0.0005400845086299033
2019-03-18,E004YRAKF,ZA,ZA00EN,1.0,ZAE000117321,6100089,Bidvest Group Ltd,3983539231.0,0.0008177292992445906
2019-03-18,E004YR9W4,CN,CN0043,1.0,CNE1000002L3,6718976,China Life Insurance Co 'H',20569956302.0,0.00422254055424572
2019-03-18,E004YR81J,KR,KR17UD,1.0,KR7000811000,6155261,SAMSUNG FIRE & MAR.IN.PF,558191033.0,0.00011458382503367999
2019-03-18,E004YPR2A,TW,TW03F7,1.0,TW0002379005,6051422,Realtek Semicon,2817849714.0,0.0005784399596404503
2019-03-18,E004YRDL2,BR,BR01UX,1.0,BRABEVACNOR1,BG7ZWY7,AMBEV,19928373743.0,0.004090838360303245
2019-03-18,E004YRDXL,TR,B03MYK,0.9630503,TRATHYAO91M5,B03MYK0,TURK HAVA YOLLARI,1728618382.0,0.00035484573295374133
2019-03-18,E004YNFVW,IN,IN02EL,0.5273566,INE918I01018,B2QKWK1,Bajaj Finserv,3909335719.0,0.000802497019015731
2019-03-18,E004YRC8N,CN,CN8BP7,1.0,KYG245241032,B1VKYN6,COUNTRY GARDEN HOLDINGS,10873989032.0,0.0022321807105433085
2019-03-18,E004YPP91,ID,ID011X,1.0,ID1000085707,6070706,BARITO PACIFIC,1115870310.0,0.00022906259829028505
2019-03-18,E004YP5Z7,CN,619215,1.0,HK0688002218,6192150,China Overseas Land & Investme,14453933943.0,0.002967061346492609
2019-03-18,E004YQFR7,KR,KR03JX,1.0,KR7010130003,6495428,Korea Zinc,5627644044.0,0.0011552263335794706
2019-03-18,E004YN0O9,ID,ID0094,1.0,ID1000058407,6230845,United Tractors Tbk PT,2857236343.0,0.0005865251318112515
2019-03-18,E004YNFH5,ZA,ZA009I,1.0,ZAE000255915,BFX05H3,ABSA GROUP LTD,7711464644.0,0.0015829869404611258
2019-03-18,E004YOESK,CN,CN8B2K,1.0,KYG8167W1380,B00XSF9,SINO BIOPHM.,5797727096.0,0.0011901404857592717
2019-03-18,E004YMGE6,MY,MY223R,1.0,MYL4707OO005,6629335,NESTLE (MALAYSIA),1683962290.0,0.00034567886080798986
2019-03-18,E004YOR1O,ID,ID00RM,1.0,ID1000117708,6315344,Charoen Pokphand Indonesia Tbk,4017310825.0,0.0008246618334295395
