Date;MSCI;SAMCO@20241018
7/19/2022;1074.73;1033.66
7/20/2022;1081.04;1038.46
7/21/2022;1086.41;1043.47
7/22/2022;1086.55;1042.11
7/25/2022;1087.24;1042.95
7/26/2022;1083.25;1039.82
7/27/2022;1088.26;1043.42
7/28/2022;1097.71;1051.79
7/29/2022;1106.94;1057.77
8/1/2022;1112.27;1060.93
8/2/2022;1102.66;1052.16
8/3/2022;1099.22;1048.92
8/4/2022;1106.24;1054.78
8/5/2022;1117.39;1066.20
8/8/2022;1118.36;1066.51
8/9/2022;1119.53;1067.43
8/10/2022;1120.34;1066.72
8/11/2022;1132.53;1080.11
